year,prospect_name,consensus_rank,big_board_rank,expected_pick,draft_range_min,draft_range_max,tier,source,source_count,confidence,notes
2026,Otega Oweh,39,42,39,38,41,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Sergio De Larrea,31,31,31,28,40,5,consensus_reference,1,0.54,"Market prior refreshed 2026-06-19 post-6/14 mock-draft movement; conservative update to expected_pick and projected range; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Nick Martinelli,41,43,41,40,43,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Jaden Bradley,42,38,42,41,44,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Jack Kayil,43,41,43,42,45,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Braden Smith,44,50,44,43,46,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Emanuel Sharp,45,45,45,44,47,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Ja’Kobi Gillespie,46,44,46,45,48,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Milos Uzan,47,48,47,46,49,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Bruce Thornton,48,47,48,47,50,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tyler Nickel,49,49,49,48,51,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Felix Okpara,50,53,50,49,52,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Izaiyah Nelson,51,46,51,50,53,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Maliq Brown,52,51,52,51,54,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tamin Lipsey,53,54,53,52,55,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tobi Lawal,54,57,54,53,56,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Keyshawn Hall,55,59,55,54,57,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Rafael Castro,56,58,56,55,58,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tyler Bilodeau,58,52,58,57,60,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Kylan Boswell,59,56,59,58,60,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Pavle Bačko,60,55,60,59,60,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Quadir Copeland,65,65,65,62,67,6,consensus_reference,4,0.54,"compiled=2026-06-19; source_names=ESPN,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards clustered in low-to-mid 60s; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Vsevolod Ishchenko,68,68,68,54,73,6,consensus_reference,4,0.52,"compiled=2026-06-19; source_names=ESPN,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards include him but range is wide; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Noam Yaacov,68,68,68,58,83,6,consensus_reference,5,0.52,"compiled=2026-06-19; source_names=ESPN,Tankathon,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=several boards rank him but second-round range is broad; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Seth Trimble,82,82,82,78,89,6,consensus_reference,4,0.52,"compiled=2026-06-19; source_names=ESPN,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards cluster around late second/top-90; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Oscar Cluff,84,84,84,59,97,6,consensus_reference,5,0.48,"compiled=2026-06-19; source_names=ESPN,The Athletic,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards include him but spread is very wide; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
